" Azure Virtual Desktop | Microsoft Partner - Mar 4, 2025 - 11:55:56 AM",,,,,
,,,,,
,,,,,
Your overall results,Excellent,'3/3',,,
Azure Virtual Desktop Readiness Resources | Microsoft Partner,Excellent,'3/3',,,
,,,,,
,,,,,
,,,,,
Category,Link-Text,Link,Priority,ReportingCategory,ReportingSubcategory,Weight,Context,CompleteY/N,Note
Azure Virtual Desktop Readiness Resources | Microsoft Partner,Azure Well-Architected Azure Virtual Desktop Workload Assessment,https://learn.microsoft.com/en-us/assessments/1ef67c4e-b8d1-4193-b850-d192089ae33d/sessions/6356b690-ba16-4dec-80a3-1e99a2021723?mode=pre-assessment&id=1ef67c4e-b8d1-4193-b850-d192089ae33d&session=6356b690-ba16-4dec-80a3-1e99a2021723,High,,,0,,N,
Azure Virtual Desktop Readiness Resources | Microsoft Partner,AVD Stories,https://azure.microsoft.com/en-us/products/virtual-desktop/#Customerstories,High,,,0,,N,
Azure Virtual Desktop Readiness Resources | Microsoft Partner,Azure Virtual Desktop Academy,https://microsoft.github.io/PartnerResources/skilling/microsoft-infrastructure-academy/avd,High,,,0,,N,
Azure Virtual Desktop Readiness Resources | Microsoft Partner,AVD Academy Resources,https://microsoft.github.io/PartnerResources/skilling/microsoft-infrastructure-academy/resources/azure-virtual-desktop,High,,,0,,N,
Azure Virtual Desktop Readiness Resources | Microsoft Partner,Azure Virtual Desktop Landing Zone Accelerator (LZA),https://github.com/Azure/avdaccelerator,High,,,0,,N,
Azure Virtual Desktop Readiness Resources | Microsoft Partner,AVD Community Blogs,https://techcommunity.microsoft.com/t5/azure-virtual-desktop-blog/bg-p/AzureVirtualDesktopBlog,High,,,0,,N,
Azure Virtual Desktop Readiness Resources | Microsoft Partner,AVD/Citrix/VMware/Azure Stack HCI Bill of Materials,https://onedrive.live.com/?authkey=%21ACWW%2Deoxp2zM6FQ&id=D242F3D2FC2D88CC%21484&cid=D242F3D2FC2D88CC,High,,,0,,N,
Azure Virtual Desktop Readiness Resources | Microsoft Partner,AVD Level 300 Customer/Partner Deck,https://1drv.ms/p/s!AsyILfzS80LSiAa_HEmJ_F5WuZRl?e=Osgzmf,High,,,0,,N,
-----------,,,,,
,,,,,
Category,Question,Answers,Selected Answer,Note
Azure Virtual Desktop Readiness Resources | Microsoft Partner,Opportunity and Use Cases,Azure Well-Architected Azure Virtual Desktop Workload Assessment,Azure Well-Architected Azure Virtual Desktop Workload Assessment,,
Azure Virtual Desktop Readiness Resources | Microsoft Partner,Opportunity and Use Cases,AVD Stories,AVD Stories,,
Azure Virtual Desktop Readiness Resources | Microsoft Partner,Training Resources,Azure Virtual Desktop Academy,Azure Virtual Desktop Academy,,
Azure Virtual Desktop Readiness Resources | Microsoft Partner,Training Resources,AVD Academy Resources,AVD Academy Resources,,
Azure Virtual Desktop Readiness Resources | Microsoft Partner,Training Resources,Azure Virtual Desktop Landing Zone Accelerator (LZA),Azure Virtual Desktop Landing Zone Accelerator (LZA),,
Azure Virtual Desktop Readiness Resources | Microsoft Partner,Roadmap and Best Practices,AVD Community Blogs,AVD Community Blogs,,
Azure Virtual Desktop Readiness Resources | Microsoft Partner,Roadmap and Best Practices,AVD/Citrix/VMware/Azure Stack HCI Bill of Materials,AVD/Citrix/VMware/Azure Stack HCI Bill of Materials,,
Azure Virtual Desktop Readiness Resources | Microsoft Partner,Roadmap and Best Practices,AVD Level 300 Customer/Partner Deck,AVD Level 300 Customer/Partner Deck,,
